Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,CM8068403360212,Intel,Pentium G5400T,495,62.6,175,https://cpu.userbenchmark.com/SpeedTest/528812/IntelR-PentiumR-Gold-G5400T-CPU---310GHz
CPU,,Intel,Core i7-7567U,496,62.6,1926,https://cpu.userbenchmark.com/SpeedTest/219709/IntelR-CoreTM-i7-7567U-CPU---350GHz
CPU,FD8150FRGUBOX,AMD,FX-8150,497,62.6,21518,https://cpu.userbenchmark.com/AMD-FX-8150/Rating/2006
CPU,FJ8068404064604,Intel,Core i5-8265U,498,62.5,87414,https://cpu.userbenchmark.com/SpeedTest/566107/IntelR-CoreTM-i5-8265U-CPU---160GHz
CPU,FJ8068404064405,Intel,Core i7-8565U,499,62.4,77843,https://cpu.userbenchmark.com/SpeedTest/591977/IntelR-CoreTM-i7-8565U-CPU---180GHz
CPU,,Intel,Xeon E5540,500,62.4,479,https://cpu.userbenchmark.com/SpeedTest/13822/IntelR-XeonR-CPU-----------E5540----253GHz
CPU,BX80677G4560,Intel,Pentium G4560,501,62.4,73483,https://cpu.userbenchmark.com/Intel-Pentium-G4560/Rating/3892
CPU,BX80646I34160,Intel,Core i3-4160,502,62.4,52543,https://cpu.userbenchmark.com/Intel-Core-i3-4160/Rating/2816
CPU,,AMD,Phenom II X4 980,503,62.4,1086,https://cpu.userbenchmark.com/SpeedTest/5445/AMD-Phenomtm-II-X4-980-Processor
CPU,,Intel,Core i7-3635QM,504,62.3,2885,https://cpu.userbenchmark.com/SpeedTest/2465/IntelR-CoreTM-i7-3635QM-CPU---240GHz
CPU,,AMD,FX-8310,505,62.3,1644,https://cpu.userbenchmark.com/SpeedTest/18534/AMD-FXtm-8310-Eight-Core-Processor
CPU,,Intel,Core i7-4702HQ,506,62.2,3465,https://cpu.userbenchmark.com/SpeedTest/297/IntelR-CoreTM-i7-4702HQ-CPU---220GHz
CPU,,AMD,Phenom II X4 B65,507,62.1,224,https://cpu.userbenchmark.com/SpeedTest/6054/AMD-Phenomtm-II-X4-B65-Processor
CPU,FD837EWMHKBOX,AMD,FX-8370E,508,62.1,5481,https://cpu.userbenchmark.com/AMD-FX-8370E/Rating/2984
CPU,,Intel,Core i7-2920XM,509,62.1,897,https://cpu.userbenchmark.com/SpeedTest/459/IntelR-CoreTM-i7-2920XM-CPU---250GHz
CPU,,Intel,Core i7-3612QM,510,62.1,11869,https://cpu.userbenchmark.com/SpeedTest/329/IntelR-CoreTM-i7-3612QM-CPU---210GHz
CPU,,Intel,Core i3-6098P,511,62,6036,https://cpu.userbenchmark.com/SpeedTest/80177/IntelR-CoreTM-i3-6098P-CPU---360GHz
CPU,,Intel,Core i7-1065G7,512,61.9,54358,https://cpu.userbenchmark.com/SpeedTest/888368/IntelR-CoreTM-i7-1065G7-CPU---130GHz
CPU,BX80646I34150,Intel,Core i3-4150,513,61.8,35375,https://cpu.userbenchmark.com/Intel-Core-i3-4150/Rating/2309
CPU,,AMD,Phenom II X6 1090T,514,61.8,22003,https://cpu.userbenchmark.com/SpeedTest/417/AMD-Phenomtm-II-X6-1090T-Processor
